id,省,市,区,街道,社区,X,Y,cp,L1,L2,L3
213,安徽省,亳州市,利辛县,城关镇,前进社区居委会,116.205654,33.150276,"116.205654,33.110276","116.205654,33.190276","116.175654,33.150276","116.235654,33.150276"
214,安徽省,亳州市,利辛县,江集镇,郑大楼村委会,116.166886,33.30049,"116.166886,33.26049","116.166886,33.34049","116.136886,33.30049","116.196886,33.30049"
215,安徽省,亳州市,利辛县,王市镇,前潘村委会,116.090438,33.184269,"116.090438,33.144269","116.090438,33.224269","116.060438,33.184269","116.120438,33.184269"
216,安徽省,亳州市,利辛县,中疃镇,中疃村委会,116.31422,33.183952,"116.31422,33.143952","116.31422,33.223952","116.28422,33.183952","116.34422,33.183952"
220,安徽省,池州市,贵池区,安徽贵池工业园,贵池工业园虚拟居委会,117.566505,30.708564,"117.566505,30.668564","117.566505,30.748564","117.536505,30.708564","117.596505,30.708564"
218,安徽省,池州市,贵池区,墩上街道办事处,河口村委会,117.727482,30.641032,"117.727482,30.601032","117.727482,30.681032","117.697482,30.641032","117.757482,30.641032"
219,安徽省,池州市,贵池区,涓桥镇,桂畈村委会,117.41933,30.528477,"117.41933,30.488477","117.41933,30.568477","117.38933,30.528477","117.44933,30.528477"
217,安徽省,池州市,贵池区,清风街道办事处,沿江居委会,117.496948,30.677744,"117.496948,30.637744","117.496948,30.717744","117.466948,30.677744","117.526948,30.677744"
203,安徽省,阜阳市,颍州区,程集镇,时庙村委会,115.716831,32.91353,"115.716831,32.87353","115.716831,32.95353","115.686831,32.91353","115.746831,32.91353"
204,安徽省,阜阳市,颍州区,马寨乡,庙东村,115.501521,32.891848,"115.501521,32.851848","115.501521,32.931848","115.471521,32.891848","115.531521,32.891848"
201,安徽省,阜阳市,颍州区,文峰街道办事处,奎星社区居委会,115.83209,32.899733,"115.83209,32.859733","115.83209,32.939733","115.80209,32.899733","115.86209,32.899733"
202,安徽省,阜阳市,颍州区,颍西街道办事处,代郢村委会,115.803651,32.910939,"115.803651,32.870939","115.803651,32.950939","115.773651,32.910939","115.833651,32.910939"
206,安徽省,合肥市,巢湖市,凤凰山街道办事处,东塘居委会,117.89215,31.611322,"117.89215,31.571322","117.89215,31.651322","117.86215,31.611322","117.92215,31.611322"
208,安徽省,合肥市,巢湖市,烔炀镇,烔炀居委会,117.642715,31.690529,"117.642715,31.650529","117.642715,31.730529","117.612715,31.690529","117.672715,31.690529"
205,安徽省,合肥市,巢湖市,亚父街道办事处,洗耳池居委会,117.878358,31.600931,"117.878358,31.560931","117.878358,31.640931","117.848358,31.600931","117.908358,31.600931"
207,安徽省,合肥市,巢湖市,柘皋镇,兴坝村委会,117.755356,31.782746,"117.755356,31.742746","117.755356,31.822746","117.725356,31.782746","117.785356,31.782746"
193,安徽省,淮南市,凤台县,城关镇,青年社区居民委员会,116.736118,32.700195,"116.736118,32.660195","116.736118,32.740195","116.706118,32.700195","116.766118,32.700195"
195,安徽省,淮南市,凤台县,桂集镇,大冯村委会,116.592419,32.782891,"116.592419,32.742891","116.592419,32.822891","116.562419,32.782891","116.622419,32.782891"
196,安徽省,淮南市,凤台县,钱庙乡,先庄村委会,116.414443,32.875767,"116.414443,32.835767","116.414443,32.915767","116.384443,32.875767","116.444443,32.875767"
194,安徽省,淮南市,凤台县,岳张集镇,寺沟村委会,116.531781,32.761515,"116.531781,32.721515","116.531781,32.801515","116.501781,32.761515","116.561781,32.761515"
209,安徽省,六安市,舒城县,城关镇,东苑社区居委会,116.959543,31.472232,"116.959543,31.432232","116.959543,31.512232","116.929543,31.472232","116.989543,31.472232"
211,安徽省,六安市,舒城县,南港镇,南港街道居委会,116.996612,31.382687,"116.996612,31.342687","116.996612,31.422687","116.966612,31.382687","117.026612,31.382687"
212,安徽省,六安市,舒城县,汤池镇,常院村委会,116.89325,31.242633,"116.89325,31.202633","116.89325,31.282633","116.86325,31.242633","116.92325,31.242633"
210,安徽省,六安市,舒城县,晓天镇,南岳村委会,116.599654,31.197467,"116.599654,31.157467","116.599654,31.237467","116.569654,31.197467","116.629654,31.197467"
198,安徽省,马鞍山市,雨山区,安民街道,花园社区居委会,118.509007,31.677875,"118.509007,31.637875","118.509007,31.717875","118.479007,31.677875","118.539007,31.677875"
200,安徽省,马鞍山市,雨山区,佳山乡,三联村委会,118.535008,31.657997,"118.535008,31.617997","118.535008,31.697997","118.505008,31.657997","118.565008,31.657997"
